                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3149,                 1.7598,                 1.0502,                0.45751,                0.29082,                0.30296,                0.18514,                 1.2791,                 1.4183,                 1.0537,             0.00033226,             0.00033226,             0.00033226
                      2,                 1.2479,                  1.203,                 1.0306,                0.61203,                0.28967,                0.30761,                0.18718,                 1.2972,                 1.2861,                 1.0712,             0.00065901,             0.00065901,             0.00065901
                      3,                 1.2365,                 1.1032,                 1.0319,                 0.6522,                0.30651,                0.33597,                0.21081,                 1.2258,                 1.1849,                 1.0465,             0.00097915,             0.00097915,             0.00097915
                      4,                 1.2153,                 1.0374,                 1.0308,                0.65643,                 0.3211,                0.35099,                0.21629,                 1.2292,                 1.1085,                 1.0549,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.1894,                0.98744,                 1.0213,                0.53281,                0.33964,                0.36909,                0.22619,                 1.2274,                  1.079,                 1.0427,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.1619,                0.94251,                 1.0087,                0.57038,                0.33769,                0.36096,                0.22256,                  1.232,                 1.1463,                 1.0468,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.1669,                0.92911,                 1.0103,                0.55411,                0.35073,                0.40041,                0.24738,                 1.1945,                0.99974,                 1.0326,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.1459,                0.90827,                 1.0034,                0.52421,                 0.3389,                0.37199,                0.23329,                 1.1907,                 1.0897,                 1.0294,              0.0009406,              0.0009406,              0.0009406
                      9,                  1.139,                0.89329,                 1.0001,                 0.7009,                 0.3436,                0.39807,                0.24674,                 1.1576,                 1.0116,                  1.019,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.1235,                0.87752,                0.99414,                0.55267,                0.34504,                 0.3844,                0.24233,                  1.181,                 1.0241,                 1.0269,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.1181,                0.86145,                0.99227,                0.56411,                0.36138,                0.38919,                0.24593,                 1.1618,                0.99255,                 1.0236,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.0997,                 0.8455,                0.98669,                0.57945,                0.36939,                0.41455,                0.25546,                 1.1577,                0.98383,                  1.014,               0.000901,               0.000901,               0.000901
                     13,                 1.0967,                0.83435,                0.98503,                0.57626,                0.36422,                0.41024,                 0.2605,                 1.1445,                0.96596,                 1.0177,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.0924,                0.83539,                  0.984,                0.53905,                0.39262,                0.42298,                0.26347,                 1.1596,                0.95735,                 1.0257,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.0787,                0.82029,                0.98127,                0.55721,                0.36299,                0.40511,                0.25009,                 1.1566,                0.99607,                 1.0151,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.0814,                0.81578,                0.97758,                 0.5499,                0.37314,                0.41434,                0.26246,                 1.1267,                0.92809,                 1.0181,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.0775,                0.80654,                0.97517,                0.57322,                0.36839,                0.41775,                0.26654,                 1.1356,                0.95088,                 1.0133,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.0696,                0.79892,                0.97407,                0.62271,                0.36543,                 0.4262,                0.27056,                  1.133,                0.93228,                 1.0195,              0.0008416,              0.0008416,              0.0008416
                     19,                  1.062,                 0.7892,                0.96897,                0.57866,                0.38655,                0.42135,                0.26368,                  1.136,                0.93481,                 1.0161,              0.0008317,              0.0008317,              0.0008317
